"","sample_id","location_id","date","parameter","unit","result","qualifier"
"1","20C0524-02","TNS01",2020-03-03,"Nitrogen","mg/l",1.89,""
"2","20C0524-02","TNS01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.016,""
"3","20C0524-03","TDA01",2020-03-03,"Nitrogen","mg/l",3.5,""
"4","20C0524-03","TDA01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.12,""
"5","20C0524-04","TBK01",2020-03-03,"Nitrogen","mg/l",5.12,""
"6","20C0524-04","TBK01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"7","20C0524-06","TFB02",2020-03-03,"Nitrogen","mg/l",2.65,""
"8","20C0524-06","TFB02",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"9","20C0524-07","TDO01",2020-03-03,"Nitrogen","mg/l",4.46,""
"10","20C0524-07","TDO01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.046,""
"11","20C0524-10","RCR09",2020-03-03,"Nitrogen","mg/l",2.52,""
"12","20C0524-10","RCR09",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"13","20C0524-11","TKV01",2020-03-03,"Nitrogen","mg/l",3.8,""
"14","20C0524-11","TKV01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"15","20C0524-12","TPY01",2020-03-03,"Nitrogen","mg/l",2.09,""
"16","20C0524-12","TPY01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"17","20C0524-13","TMH01",2020-03-03,"Nitrogen","mg/l",2.24,""
"18","20C0524-13","TMH01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.021,""
"19","20C0524-14","TBR01",2020-03-03,"Nitrogen","mg/l",1.96,""
"20","20C0524-14","TBR01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"21","20C0524-15","TSO01",2020-03-03,"Nitrogen","mg/l",1.96,""
"22","20C0524-15","TSO01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.045,""
"23","20C0524-16","TLU01",2020-03-03,"Nitrogen","mg/l",2.52,""
"24","20C0524-16","TLU01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.042,""
"25","20C0524-17","TPI01",2020-03-03,"Nitrogen","mg/l",1.96,""
"26","20C0524-17","TPI01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"27","20C0524-18","TPO01",2020-03-03,"Nitrogen","mg/l",1.68,""
"28","20C0524-18","TPO01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.014,""
"29","20C0524-19","TFE01",2020-03-03,"Nitrogen","mg/l",2.24,""
"30","20C0524-19","TFE01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"31","20C0524-20","TOR01",2020-03-02,"Nitrogen","mg/l",2.8,""
"32","20C0524-20","TOR01",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.11,""
"33","20C0524-21","TFS01",2020-03-02,"Nitrogen","mg/l",1.96,""
"34","20C0524-21","TFS01",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"35","20C0524-22","TTX27",2020-03-02,"Nitrogen","mg/l",2.24,""
"36","20C0524-22","TTX27",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.018,""
"37","20C0524-23","TFD01",2020-03-02,"Nitrogen","mg/l",1.96,""
"38","20C0524-23","TFD01",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.055,""
"39","20C0524-24","TPB01",2020-03-02,"Nitrogen","mg/l",1.96,""
"40","20C0524-24","TPB01",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"41","20C0524-25","TDU01",2020-03-02,"Nitrogen","mg/l",2.52,""
"42","20C0524-25","TDU01",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"43","20C0524-26","TFC01",2020-03-02,"Nitrogen","mg/l",1.68,""
"44","20C0524-26","TFC01",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.012,""
"45","20C0524-29","TWB01",2020-03-02,"Nitrogen","mg/l",2.52,""
"46","20C0524-29","TWB01",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.016,""
"47","20C0524-30","TWB05",2020-03-02,"Nitrogen","mg/l",2.24,""
"48","20C0524-30","TWB05",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.14,""
"49","20C0524-31","TWB06",2020-03-02,"Nitrogen","mg/l",2.24,""
"50","20C0524-31","TWB06",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"51","20C0524-32","THR02",2020-03-02,"Nitrogen","mg/l",2.52,""
"52","20C0524-32","THR02",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.028,""
"53","20C0524-35","TNA01",2020-03-02,"Nitrogen","mg/l",1.68,""
"54","20C0524-35","TNA01",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"55","20C0524-38","RCR01",2020-03-02,"Nitrogen","mg/l",1.87,""
"56","20C0524-38","RCR01",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"57","FIELD BLANK_150928","RCR09",2015-09-28,"Escherichia coli","MPN/100mL",1,"<"
"58","FIELD BLANK_170502","RCR09",2017-05-02,"Escherichia coli","MPN/100mL",1,"<"
"59","FIELD BLANK_170522","RCR09",2017-05-22,"Escherichia coli","MPN/100mL",1,"<"
"60","FIELD BLANK_170530","RCR09",2017-05-30,"Escherichia coli","MPN/100mL",1,"<"
"61","FIELD BLANK_170620","RCR09",2017-06-20,"Escherichia coli","MPN/100mL",1,"<"
"62","FIELD BLANK_170626","RCR09",2017-06-26,"Escherichia coli","MPN/100mL",1,"<"
"63","FIELD BLANK_170705","RCR09",2017-07-05,"Escherichia coli","MPN/100mL",1,"<"
"64","FIELD BLANK_170724","RCR09",2017-07-24,"Escherichia coli","MPN/100mL",1,"<"
"65","FIELD BLANK_170731","RCR09",2017-07-31,"Escherichia coli","MPN/100mL",1,"<"
"66","FIELD BLANK_170821","RCR09",2017-08-21,"Escherichia coli","MPN/100mL",1,"<"
"67","FIELD BLANK_170905","RCR09",2017-09-05,"Escherichia coli","MPN/100mL",1,"<"
"68","FIELD BLANK_170905_0.1","RCR09",2017-09-05,"Escherichia coli","MPN/100mL",1,"<"
"69","FIELD BLANK_170925","RCR09",2017-09-25,"Escherichia coli","MPN/100mL",1,"<"
"70","FIELD BLANK_170925_0.1","RCR09",2017-09-25,"Escherichia coli","MPN/100mL",1,"<"
"71","FIELD BLANK_180522","RCR09",2018-05-22,"Escherichia coli","MPN/100mL",1,"<"
"72","FIELD BLANK_180529","RCR09",2018-05-29,"Escherichia coli","MPN/100mL",1,"<"
"73","FIELD BLANK_180619","RCR09",2018-06-19,"Escherichia coli","MPN/100mL",1,"<"
"74","FIELD BLANK_180625","RCR09",2018-06-25,"Escherichia coli","MPN/100mL",1,"<"
"75","FIELD BLANK_180702","RCR09",2018-07-02,"Escherichia coli","MPN/100mL",1,"<"
"76","FIELD BLANK_180723","RCR09",2018-07-23,"Escherichia coli","MPN/100mL",1,"<"
"77","FIELD BLANK_180730","RCR09",2018-07-30,"Escherichia coli","MPN/100mL",1,"<"
"78","FIELD BLANK_180820","RCR09",2018-08-20,"Escherichia coli","MPN/100mL",1,"<"
"79","FIELD BLANK_180827","RCR09",2018-08-27,"Escherichia coli","MPN/100mL",1,"<"
"80","FIELD BLANK_180904","RCR09",2018-09-04,"Escherichia coli","MPN/100mL",1,"<"
"81","FIELD BLANK_180924","RCR09",2018-09-24,"Escherichia coli","MPN/100mL",1,"<"
"82","FIELD BLANK_NW_150707","RCR09",2015-07-07,"Escherichia coli","MPN/100mL",1,"<"
"83","FIELD BLANK_NW_150720","RCR09",2015-07-20,"Escherichia coli","MPN/100mL",1,"<"
"84","FIELD BLANK_NW_150728","RCR09",2015-07-28,"Escherichia coli","MPN/100mL",1,"<"
"85","FIELD BLANK_NW_150804","RCR09",2015-08-04,"Escherichia coli","MPN/100mL",1,"<"
"86","FIELD BLANK_NW_150818","RCR09",2015-08-18,"Escherichia coli","MPN/100mL",1,"<"
"87","FIELD BLANK_NW_150825","RCR09",2015-08-25,"Escherichia coli","MPN/100mL",1,"<"
"88","FIELD BLANK_NW_150901","RCR09",2015-09-01,"Escherichia coli","MPN/100mL",1,"<"
"89","FIELD BLANK_NW_150915","RCR09",2015-09-15,"Escherichia coli","MPN/100mL",1,"<"
"90","FIELD BLANK_R_170912_0.1","RCR09",2017-09-12,"Escherichia coli","MPN/100mL",1,"<"
"91","RCR01_150707","RCR01",2015-07-07,"Escherichia coli","MPN/100mL",2420,">"
"92","RCR01_150714","RCR01",2015-07-14,"Escherichia coli","MPN/100mL",44,""
"93","RCR01_150714_0.219212","RCR01",2015-07-14,"Conductivity","uS/cm",599.714661,""
"94","RCR01_150714_0.219212","RCR01",2015-07-14,"Dissolved oxygen (DO)","mg/l",8.720857,""
"95","RCR01_150714_0.219212","RCR01",2015-07-14,"pH","none",7.669146,""
"96","RCR01_150714_0.219212","RCR01",2015-07-14,"Temperature, water","deg C",23.188845,""
"97","RCR01_150714_0.219212","RCR01",2015-07-14,"Turbidity","NTU",1.823844,""
"98","RCR01_150720","RCR01",2015-07-20,"Escherichia coli","MPN/100mL",155,""
"99","RCR01_150728","RCR01",2015-07-28,"Escherichia coli","MPN/100mL",980,""
"100","RCR01_150804","RCR01",2015-08-04,"Escherichia coli","MPN/100mL",249,""
"101","RCR01_150811","RCR01",2015-08-11,"Escherichia coli","MPN/100mL",387,""
"102","RCR01_150811_0.294516","RCR01",2015-08-11,"Conductivity","uS/cm",515.200867,""
"103","RCR01_150811_0.294516","RCR01",2015-08-11,"Dissolved oxygen (DO)","mg/l",7.004862,""
"104","RCR01_150811_0.294516","RCR01",2015-08-11,"pH","none",7.516359,""
"105","RCR01_150811_0.294516","RCR01",2015-08-11,"Temperature, water","deg C",22.791857,""
"106","RCR01_150811_0.294516","RCR01",2015-08-11,"Turbidity","NTU",3.229893,""
"107","RCR01_150818","RCR01",2015-08-18,"Escherichia coli","MPN/100mL",142,""
"108","RCR01_150825","RCR01",2015-08-25,"Escherichia coli","MPN/100mL",2420,">"
"109","RCR01_150901","RCR01",2015-09-01,"Escherichia coli","MPN/100mL",308,""
"110","RCR01_150915","RCR01",2015-09-15,"Escherichia coli","MPN/100mL",649,""
"111","RCR01_150921","RCR01",2015-09-21,"Escherichia coli","MPN/100mL",250,""
"112","RCR01_150921_0.384597","RCR01",2015-09-21,"Conductivity","uS/cm",871.331787,""
"113","RCR01_150921_0.384597","RCR01",2015-09-21,"Dissolved oxygen (DO)","mg/l",7.180079,""
"114","RCR01_150921_0.384597","RCR01",2015-09-21,"pH","none",7.730871,""
"115","RCR01_150921_0.384597","RCR01",2015-09-21,"Temperature, water","deg C",19.420328,""
"116","RCR01_150921_0.384597","RCR01",2015-09-21,"Turbidity","NTU",2.091023,""
"117","RCR01_150928","RCR01",2015-09-28,"Escherichia coli","MPN/100mL",290,""
"118","RCR01_151020","RCR01",2015-10-20,"Escherichia coli","MPN/100mL",105,""
"119","RCR01_151020_0.454456","RCR01",2015-10-20,"Conductivity","uS/cm",749.684143,""
"120","RCR01_151020_0.454456","RCR01",2015-10-20,"Dissolved oxygen (DO)","mg/l",10.254461,""
"121","RCR01_151020_0.454456","RCR01",2015-10-20,"pH","none",7.658508,""
"122","RCR01_151020_0.454456","RCR01",2015-10-20,"Temperature, water","deg C",9.095241,""
"123","RCR01_151020_0.454456","RCR01",2015-10-20,"Turbidity","NTU",4.228064,""
"124","RCR01_151103","RCR01",2015-11-03,"Escherichia coli","MPN/100mL",498,""
"125","RCR01_151103_0.275564","RCR01",2015-11-03,"Conductivity","uS/cm",583.252319,""
"126","RCR01_151103_0.275564","RCR01",2015-11-03,"Dissolved oxygen (DO)","mg/l",9.10533,""
"127","RCR01_151103_0.275564","RCR01",2015-11-03,"pH","none",7.881297,""
"128","RCR01_151103_0.275564","RCR01",2015-11-03,"Temperature, water","deg C",12.539016,""
"129","RCR01_151103_0.275564","RCR01",2015-11-03,"Turbidity","NTU",1.109041,""
"130","RCR01_151215","RCR01",2015-12-15,"Escherichia coli","MPN/100mL",649,""
"131","RCR01_151215_0.374676","RCR01",2015-12-15,"Conductivity","uS/cm",616.494568,""
"132","RCR01_151215_0.374676","RCR01",2015-12-15,"Dissolved oxygen (DO)","mg/l",10.357999,""
"133","RCR01_151215_0.374676","RCR01",2015-12-15,"pH","none",7.845402,""
"134","RCR01_151215_0.374676","RCR01",2015-12-15,"Temperature, water","deg C",12.424653,""
"135","RCR01_151215_0.374676","RCR01",2015-12-15,"Turbidity","NTU",2.984041,""
"136","RCR01_160105","RCR01",2016-01-05,"Escherichia coli","MPN/100mL",977,""
"137","RCR01_160105_0.551964","RCR01",2016-01-05,"Conductivity","uS/cm",479.587646,""
"138","RCR01_160105_0.551964","RCR01",2016-01-05,"Dissolved oxygen (DO)","mg/l",13.183621,""
"139","RCR01_160105_0.551964","RCR01",2016-01-05,"pH","none",8.211018,""
"140","RCR01_160105_0.551964","RCR01",2016-01-05,"Temperature, water","deg C",1.847786,""
"141","RCR01_160105_0.551964","RCR01",2016-01-05,"Turbidity","NTU",6.223218,""
"142","RCR01_160202","RCR01",2016-02-02,"Escherichia coli","MPN/100mL",687,""
"143","RCR01_160202_0.219466","RCR01",2016-02-02,"Conductivity","uS/cm",1477.195923,""
"144","RCR01_160202_0.219466","RCR01",2016-02-02,"Dissolved oxygen (DO)","mg/l",12.717025,""
"145","RCR01_160202_0.219466","RCR01",2016-02-02,"pH","none",8.37788,""
"146","RCR01_160202_0.219466","RCR01",2016-02-02,"Temperature, water","deg C",3.208824,""
"147","RCR01_160202_0.219466","RCR01",2016-02-02,"Turbidity","NTU",30.419001,""
"148","RCR01_160315","RCR01",2016-03-15,"Escherichia coli","MPN/100mL",387,""
"149","RCR01_160315_0.479327","RCR01",2016-03-15,"Conductivity","uS/cm",690.134827,""
"150","RCR01_160315_0.479327","RCR01",2016-03-15,"Dissolved oxygen (DO)","mg/l",10.466629,""
"151","RCR01_160315_0.479327","RCR01",2016-03-15,"pH","none",9.038707,""
"152","RCR01_160315_0.479327","RCR01",2016-03-15,"Temperature, water","deg C",10.782125,""
"153","RCR01_160315_0.479327","RCR01",2016-03-15,"Turbidity","NTU",9.856071,""
"154","RCR01_160405","RCR01",2016-04-05,"Escherichia coli","MPN/100mL",579,""
"155","RCR01_160405_0.1","RCR01",2016-04-05,"Conductivity","uS/cm",561,""
"156","RCR01_160405_0.1","RCR01",2016-04-05,"Dissolved oxygen (DO)","mg/l",10.75,""
"157","RCR01_160405_0.1","RCR01",2016-04-05,"pH","none",7.54,""
"158","RCR01_160405_0.1","RCR01",2016-04-05,"Temperature, water","deg C",10.26,""
"159","RCR01_160405_0.1","RCR01",2016-04-05,"Turbidity","NTU",6.33,""
"160","RCR01_160517_0.608781","RCR01",2016-05-17,"Conductivity","uS/cm",412.377655,""
"161","RCR01_160517_0.608781","RCR01",2016-05-17,"Dissolved oxygen (DO)","mg/l",9.452493,""
"162","RCR01_160517_0.608781","RCR01",2016-05-17,"pH","none",7.4639,""
"163","RCR01_160517_0.608781","RCR01",2016-05-17,"Temperature, water","deg C",14.104602,""
"164","RCR01_160517_0.608781","RCR01",2016-05-17,"Turbidity","NTU",2.128708,""
"165","RCR01_160614","RCR01",2016-06-14,"Escherichia coli","MPN/100mL",146,""
"166","RCR01_160614_0.250776","RCR01",2016-06-14,"Conductivity","uS/cm",546.586609,""
"167","RCR01_160614_0.250776","RCR01",2016-06-14,"Dissolved oxygen (DO)","mg/l",8.257283,""
"168","RCR01_160614_0.250776","RCR01",2016-06-14,"pH","none",7.773114,""
"169","RCR01_160614_0.250776","RCR01",2016-06-14,"Temperature, water","deg C",21.807625,""
"170","RCR01_160614_0.250776","RCR01",2016-06-14,"Turbidity","NTU",0.32109,""
"171","RCR01_160719_0.594114","RCR01",2016-07-19,"Conductivity","uS/cm",382.206116,""
"172","RCR01_160719_0.594114","RCR01",2016-07-19,"Dissolved oxygen (DO)","mg/l",5.474209,""
"173","RCR01_160719_0.594114","RCR01",2016-07-19,"pH","none",7.557122,""
"174","RCR01_160719_0.594114","RCR01",2016-07-19,"Temperature, water","deg C",25.235075,""
"175","RCR01_160719_0.594114","RCR01",2016-07-19,"Turbidity","NTU",6.199099,""
"176","RCR01_160816","RCR01",2016-08-16,"Escherichia coli","MPN/100mL",2420,">"
"177","RCR01_160816_0.329948","RCR01",2016-08-16,"Conductivity","uS/cm",199.363068,""
"178","RCR01_160816_0.329948","RCR01",2016-08-16,"Dissolved oxygen (DO)","mg/l",6.693737,""
"179","RCR01_160816_0.329948","RCR01",2016-08-16,"pH","none",7.232658,""
"180","RCR01_160816_0.329948","RCR01",2016-08-16,"Temperature, water","deg C",25.62925,""
"181","RCR01_160816_0.329948","RCR01",2016-08-16,"Turbidity","NTU",39.739174,""
"182","RCR01_160920","RCR01",2016-09-20,"Escherichia coli","MPN/100mL",2420,""
"183","RCR01_160920_0.408012","RCR01",2016-09-20,"Conductivity","uS/cm",501.26178,""
"184","RCR01_160920_0.408012","RCR01",2016-09-20,"Dissolved oxygen (DO)","mg/l",6.943228,""
"185","RCR01_160920_0.408012","RCR01",2016-09-20,"pH","none",7.582361,""
"186","RCR01_160920_0.408012","RCR01",2016-09-20,"Temperature, water","deg C",22.273592,""
"187","RCR01_160920_0.408012","RCR01",2016-09-20,"Turbidity","NTU",2.117841,""
"188","RCR01_161018","RCR01",2016-10-18,"Escherichia coli","MPN/100mL",194,""
"189","RCR01_161018_0.511515","RCR01",2016-10-18,"Conductivity","uS/cm",675.979065,""
"190","RCR01_161018_0.511515","RCR01",2016-10-18,"Dissolved oxygen (DO)","mg/l",9.262732,""
"191","RCR01_161018_0.511515","RCR01",2016-10-18,"pH","none",7.933031,""
"192","RCR01_161018_0.511515","RCR01",2016-10-18,"Temperature, water","deg C",15.928009,""
"193","RCR01_161018_0.511515","RCR01",2016-10-18,"Turbidity","NTU",0.206656,""
"194","RCR01_161108","RCR01",2016-11-08,"Escherichia coli","MPN/100mL",435,""
"195","RCR01_161108_0.1","RCR01",2016-11-08,"Conductivity","uS/cm",633,""
"196","RCR01_161108_0.1","RCR01",2016-11-08,"Dissolved oxygen (DO)","mg/l",10.24,""
"197","RCR01_161108_0.1","RCR01",2016-11-08,"pH","none",7.75,""
"198","RCR01_161108_0.1","RCR01",2016-11-08,"Temperature, water","deg C",9.72,""
"199","RCR01_161108_0.1","RCR01",2016-11-08,"Turbidity","NTU",1.2,""
"200","RCR01_161206","RCR01",2016-12-06,"Escherichia coli","MPN/100mL",1300,""
"201","RCR01_161206_0.641","RCR01",2016-12-06,"Conductivity","uS/cm",308,""
"202","RCR01_161206_0.641","RCR01",2016-12-06,"Dissolved oxygen (DO)","mg/l",11.11,""
"203","RCR01_161206_0.641","RCR01",2016-12-06,"pH","none",8.72,""
"204","RCR01_161206_0.641","RCR01",2016-12-06,"Temperature, water","deg C",6.78,""
"205","RCR01_161206_0.641","RCR01",2016-12-06,"Turbidity","NTU",4.2,""
"206","RCR01_170117","RCR01",2017-01-17,"Conductivity","uS/cm",804,""
"207","RCR01_170117","RCR01",2017-01-17,"Dissolved oxygen (DO)","mg/l",11.9,""
"208","RCR01_170117","RCR01",2017-01-17,"Escherichia coli","MPN/100mL",272,""
"209","RCR01_170117","RCR01",2017-01-17,"pH","none",5.1,""
"210","RCR01_170117","RCR01",2017-01-17,"Temperature, water","deg C",5.1,""
"211","RCR01_170117","RCR01",2017-01-17,"Turbidity","NTU",4.7,""
"212","RCR01_170214","RCR01",2017-02-14,"Conductivity","uS/cm",618,""
"213","RCR01_170214","RCR01",2017-02-14,"Dissolved oxygen (DO)","mg/l",12.5,""
"214","RCR01_170214","RCR01",2017-02-14,"Escherichia coli","MPN/100mL",166,""
"215","RCR01_170214","RCR01",2017-02-14,"pH","none",8.06,""
"216","RCR01_170214","RCR01",2017-02-14,"Temperature, water","deg C",3.9,""
"217","RCR01_170214","RCR01",2017-02-14,"Turbidity","NTU",3.8,""
"218","RCR01_170314","RCR01",2017-03-14,"Conductivity","uS/cm",3872,""
"219","RCR01_170314","RCR01",2017-03-14,"Dissolved oxygen (DO)","mg/l",12.6,""
"220","RCR01_170314","RCR01",2017-03-14,"Escherichia coli","MPN/100mL",194,""
"221","RCR01_170314","RCR01",2017-03-14,"pH","none",7.8,""
"222","RCR01_170314","RCR01",2017-03-14,"Temperature, water","deg C",1.1,""
"223","RCR01_170314","RCR01",2017-03-14,"Turbidity","NTU",6.6,""
"224","RCR01_170404","RCR01",2017-04-04,"Conductivity","uS/cm",505,""
"225","RCR01_170404","RCR01",2017-04-04,"Dissolved oxygen (DO)","mg/l",9.6,""
"226","RCR01_170404","RCR01",2017-04-04,"Escherichia coli","MPN/100mL",816,""
"227","RCR01_170404","RCR01",2017-04-04,"pH","none",7.51,""
"228","RCR01_170404","RCR01",2017-04-04,"Temperature, water","deg C",14.4,""
"229","RCR01_170404","RCR01",2017-04-04,"Turbidity","NTU",6.3,""
"230","RCR01_170502","RCR01",2017-05-02,"Escherichia coli","MPN/100mL",502,""
"231","RCR01_170509","RCR01",2017-05-09,"Escherichia coli","MPN/100mL",261,""
"232","RCR01_170516","RCR01",2017-05-16,"Conductivity","uS/cm",386,""
"233","RCR01_170516","RCR01",2017-05-16,"Dissolved oxygen (DO)","mg/l",8.66,""
"234","RCR01_170516","RCR01",2017-05-16,"Escherichia coli","MPN/100mL",84,""
"235","RCR01_170516","RCR01",2017-05-16,"pH","none",7.59,""
"236","RCR01_170516","RCR01",2017-05-16,"Temperature, water","deg C",15.94,""
"237","RCR01_170516","RCR01",2017-05-16,"Turbidity","NTU",9.5,""
"238","RCR01_170522","RCR01",2017-05-22,"Escherichia coli","MPN/100mL",2420,">"
"239","RCR01_170606","RCR01",2017-06-06,"Conductivity","uS/cm",909,""
"240","RCR01_170606","RCR01",2017-06-06,"Dissolved oxygen (DO)","mg/l",7.82,""
"241","RCR01_170606","RCR01",2017-06-06,"Escherichia coli","MPN/100mL",1986,""
"242","RCR01_170606","RCR01",2017-06-06,"pH","none",7.38,""
"243","RCR01_170606","RCR01",2017-06-06,"Temperature, water","deg C",20.3,""
"244","RCR01_170606","RCR01",2017-06-06,"Turbidity","NTU",6.89,""
"245","RCR01_170613","RCR01",2017-06-13,"Escherichia coli","MPN/100mL",435,""
"246","RCR01_170620","RCR01",2017-06-20,"Escherichia coli","MPN/100mL",2420,">"
"247","RCR01_170626","RCR01",2017-06-26,"Escherichia coli","MPN/100mL",294,""
"248","RCR01_170705","RCR01",2017-07-05,"Escherichia coli","MPN/100mL",1016,""
"249","RCR01_170711","RCR01",2017-07-11,"Escherichia coli","MPN/100mL",225,""
"250","RCR01_170718","RCR01",2017-07-18,"Conductivity","uS/cm",636,""
"251","RCR01_170718","RCR01",2017-07-18,"Dissolved oxygen (DO)","mg/l",6.36,""
"252","RCR01_170718","RCR01",2017-07-18,"Escherichia coli","MPN/100mL",1177,""
"253","RCR01_170718","RCR01",2017-07-18,"pH","none",7.45,""
"254","RCR01_170718","RCR01",2017-07-18,"Temperature, water","deg C",25.53,""
"255","RCR01_170718","RCR01",2017-07-18,"Turbidity","NTU",6.5,""
"256","RCR01_170724","RCR01",2017-07-24,"Escherichia coli","MPN/100mL",2420,">"
"257","RCR01_170731","RCR01",2017-07-31,"Escherichia coli","MPN/100mL",921,""
"258","RCR01_170808","RCR01",2017-08-08,"Escherichia coli","MPN/100mL",1482,""
"259","RCR01_170815","RCR01",2017-08-15,"Conductivity","uS/cm",306,""
"260","RCR01_170815","RCR01",2017-08-15,"Dissolved oxygen (DO)","mg/l",7.65,""
"261","RCR01_170815","RCR01",2017-08-15,"Escherichia coli","MPN/100mL",2420,">"
"262","RCR01_170815","RCR01",2017-08-15,"pH","none",7.37,""
"263","RCR01_170815","RCR01",2017-08-15,"Temperature, water","deg C",22.59,""
"264","RCR01_170815","RCR01",2017-08-15,"Turbidity","NTU",23.15,""
"265","RCR01_170821","RCR01",2017-08-21,"Escherichia coli","MPN/100mL",219,""
"266","RCR01_170905","RCR01",2017-09-05,"Escherichia coli","MPN/100mL",488,""
"267","RCR01_170905_0.1","RCR01",2017-09-05,"Escherichia coli","MPN/100mL",488,""
"268","RCR01_170912","RCR01",2017-09-12,"Escherichia coli","MPN/100mL",162,""
"269","RCR01_170912_0.1","RCR01",2017-09-12,"Escherichia coli","MPN/100mL",162,""
"270","RCR01_170919","RCR01",2017-09-19,"Conductivity","uS/cm",556,""
"271","RCR01_170919","RCR01",2017-09-19,"Dissolved oxygen (DO)","mg/l",8.47,""
"272","RCR01_170919","RCR01",2017-09-19,"Escherichia coli","MPN/100mL",291,""
"273","RCR01_170919","RCR01",2017-09-19,"pH","none",7.81,""
"274","RCR01_170919","RCR01",2017-09-19,"Temperature, water","deg C",21.29,""
"275","RCR01_170919_0.1","RCR01",2017-09-19,"Escherichia coli","MPN/100mL",291,""
"276","RCR01_170925","RCR01",2017-09-25,"Conductivity","uS/cm",578,""
"277","RCR01_170925","RCR01",2017-09-25,"Dissolved oxygen (DO)","mg/l",7.45,""
"278","RCR01_170925","RCR01",2017-09-25,"Escherichia coli","MPN/100mL",276,""
"279","RCR01_170925","RCR01",2017-09-25,"pH","none",7.5,""
"280","RCR01_170925","RCR01",2017-09-25,"Temperature, water","deg C",21.41,""
"281","RCR01_170925_0.1","RCR01",2017-09-25,"Escherichia coli","MPN/100mL",276,""
"282","RCR01_171003","RCR01",2017-10-03,"Conductivity","uS/cm",658,""
"283","RCR01_171003","RCR01",2017-10-03,"Dissolved oxygen (DO)","mg/l",9.26,""
"284","RCR01_171003","RCR01",2017-10-03,"Escherichia coli","MPN/100mL",192,""
"285","RCR01_171003","RCR01",2017-10-03,"pH","none",7.71,""
"286","RCR01_171003","RCR01",2017-10-03,"Temperature, water","deg C",15.84,""
"287","RCR01_171003_0.1","RCR01",2017-10-03,"Escherichia coli","MPN/100mL",192,""
"288","RCR01_171114","RCR01",2017-11-14,"Conductivity","uS/cm",429,""
"289","RCR01_171114","RCR01",2017-11-14,"Dissolved oxygen (DO)","mg/l",11.09,""
"290","RCR01_171114","RCR01",2017-11-14,"Escherichia coli","MPN/100mL",816,""
"291","RCR01_171114","RCR01",2017-11-14,"pH","none",7.83,""
"292","RCR01_171114","RCR01",2017-11-14,"Temperature, water","deg C",7.61,""
"293","RCR01_171114_0.1","RCR01",2017-11-14,"Escherichia coli","MPN/100mL",816,""
"294","RCR01_171205","RCR01",2017-12-05,"Conductivity","uS/cm",521,""
"295","RCR01_171205","RCR01",2017-12-05,"Dissolved oxygen (DO)","mg/l",12.59,""
"296","RCR01_171205","RCR01",2017-12-05,"Escherichia coli","MPN/100mL",461,""
"297","RCR01_171205","RCR01",2017-12-05,"pH","none",7.2,""
"298","RCR01_171205","RCR01",2017-12-05,"Temperature, water","deg C",7.2,""
"299","RCR01_171205_0.1","RCR01",2017-12-05,"Escherichia coli","MPN/100mL",461,""
"300","RCR01_180116","RCR01",2018-01-16,"Escherichia coli","MPN/100mL",178,""
"301","RCR01_180116_0.1","RCR01",2018-01-16,"Conductivity","uS/cm",627,""
"302","RCR01_180116_0.1","RCR01",2018-01-16,"Dissolved oxygen (DO)","mg/l",14,""
"303","RCR01_180116_0.1","RCR01",2018-01-16,"pH","none",7.88,""
"304","RCR01_180116_0.1","RCR01",2018-01-16,"Temperature, water","deg C",1.08,""
"305","RCR01_180206","RCR01",2018-02-06,"Escherichia coli","MPN/100mL",276,""
"306","RCR01_180206_0.1","RCR01",2018-02-06,"Conductivity","uS/cm",645,""
"307","RCR01_180206_0.1","RCR01",2018-02-06,"Dissolved oxygen (DO)","mg/l",13.48,""
"308","RCR01_180206_0.1","RCR01",2018-02-06,"pH","none",7.84,""
