WATERSHED,SUBSHED,ACRES,TYPE,WATERSHED_SEGMENTS,SEWER_SYSTEM,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
Rock Creek,Rock Creek,7.13444119,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_69,{CA47DD83-38DA-46E2-BEBF-BAC922DAB409},,,,,69,0,0
Rock Creek,Rock Creek,2.35137349,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_95,{AE4F2D90-6811-4364-99FC-240D42B5089A},,,,,70,0,0
Potomac River,Battery Kemble Creek,231.58086121,TMDL Subsheds,Potomac River - Upper,MS4,temp_162,{13F4AC37-7A6E-4B29-9950-6A282C6156AB},,,,,71,0,0
Rock Creek,Rock Creek,6.998074,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_65,{CB4396E0-4467-458E-B373-F9E040889AEF},,,,,72,0,0
Potomac River,Potomac River,157.39349259,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_6,{20132B78-918E-4132-96E5-CC81F29E5770},,,,,73,0,0
Anacostia River,Anacostia River / To MD - Anacostia,5.31283983,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_68,{528BC771-FEED-4918-A045-4ABCA8497F2E},,,,,74,0,0
Anacostia River,Anacostia River / To MD - Anacostia,45.45929241,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_135,{0F3FCB76-62C4-4FF7-8CE2-2CAF9198885B},,,,,75,0,0
Rock Creek,Normanstone Creek,217.77882315,TMDL Subsheds,Rock Creek - Lower,MS4,temp_156,{95B56E6D-F3F5-4ED6-B25D-A9040CCAD473},,,,,76,0,0
Rock Creek,Rock Creek,93.88818772,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_33,{3D0A80B4-8E51-49F4-AA8C-9015A99720E9},,,,,77,0,0
Anacostia River,Hickey Run,1103.84644479,TMDL Subsheds,Anacostia River - Upper,MS4,temp_142,{7A34FBBF-51C7-4556-8774-63A1A5D62BAF},,,,,78,0,0
Potomac River,Potomac River,1371.11767514,CSS Subsheds,Potomac River - Middle,CSS,temp_179,{FEED348A-4E37-4D20-BB50-FA3CBA8ADBE8},,,,,79,0,0
Anacostia River,Anacostia River / To MD - Anacostia,6.25868892,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_49,{0C310E8E-2AD3-489D-AD32-828CAED4C496},,,,,80,0,0
Anacostia River,Anacostia River,63.93354946,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_137,{E23C0CE0-0BBF-4E43-8673-B758F8BA6BB6},,,,,81,0,0
Rock Creek,Rock Creek,34.06628619,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_106,{0269FFA2-CB19-4C3C-BAAB-4B7527339085},,,,,82,0,0
Anacostia River,Anacostia River,71.42013112,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_136,{5FA280C8-4427-4956-8A82-D888A1BA362F},,,,,83,0,0
Rock Creek,Rock Creek,8.79978359,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_110,{CDAEF6A2-B7B2-43FB-86D7-257E940ADC9C},,,,,84,0,0
Rock Creek,Rock Creek,2.5872633,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_10,{ECA40E6C-391D-451A-A2A9-0341A5DD04F2},,,,,85,0,0
Rock Creek,Dumbarton Oaks,136.0732987,TMDL Subsheds,Rock Creek - Lower,MS4,temp_150,{713C29FB-EE66-422A-9DEC-C661B5F93DC7},,,,,86,0,0
Rock Creek,Rock Creek,4.76713657,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_9,{D5009450-C31A-4BC5-B638-23A34FA10BDA},,,,,87,0,0
Anacostia River,Anacostia River,9.06674367,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_52,{BAF29C04-4002-4000-BE8B-4565879F2602},,,,,88,0,0
Rock Creek,Rock Creek,43.8891533,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_107,{C82F12AB-DCC1-4212-AE49-2005F6DD5876},,,,,89,0,0
Anacostia River,Anacostia River,29.88815943,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_36,{F8063473-0297-4120-889B-25808FC4B68A},,,,,90,0,0
Rock Creek,Rock Creek,4.84223474,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_111,{4D8B696B-E047-41D4-A676-F60A3B38A8E2},,,,,91,0,0
Anacostia River,Anacostia River,19.76547666,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_34,{5424F3A7-E64F-45D5-B5C6-FA2C4B6418FE},,,,,92,0,0
Rock Creek,Rock Creek,5.0808999,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_112,{A7355102-96CD-45D1-A0FD-9B573E194826},,,,,93,0,0
Anacostia River,Anacostia River,4.26075567,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_105,{51F6348B-B030-4EBE-921C-7AD207B664F2},,,,,94,0,0
Anacostia River,Anacostia River,8.13636756,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_53,{19614C5F-1282-45F9-819B-4DB226133574},,,,,95,0,0
Rock Creek,Rock Creek,10.0802776,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_109,{C9F48B18-5294-448F-B3A4-80FE829873E4},,,,,96,0,0
Anacostia River,Anacostia River,0.69530528,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_182,{155A730B-6D7F-4230-97D1-EEF964325137},,,,,97,0,0
Rock Creek,Rock Creek,0.46536063,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_184,{CB31A706-4F17-47B0-B4A9-7D72BCFA7CEB},,,,,98,0,0
Anacostia River,Anacostia River,5.91299063,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_35,{C70D0C26-A4FA-49E0-9759-C0D8913405E0},,,,,99,0,0
Rock Creek,Rock Creek,0.48531028,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_185,{D8AC2D94-2D02-43BD-98E2-6D4412DFF76F},,,,,100,0,0
Rock Creek,Rock Creek,5.79186241,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_186,{4722717B-0CA0-4945-AECF-B29A6EAF517F},,,,,101,0,0
Anacostia River,Lower Beaverdam Creek,32.15581303,TMDL Subsheds,Anacostia River - Upper,MS4,temp_169,{C708833E-395D-459C-9255-BE146E0A6131},,,,,102,0,0
Anacostia River,Nash Run,472.15871618,TMDL Subsheds,Anacostia River - Upper,MS4,temp_143,{1A240B17-4CE8-4EFA-85D6-3C2FDD378E06},,,,,103,0,0
Rock Creek,Rock Creek,1.09736904,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_187,{34C15469-B430-4AF8-A078-4CB896B8F0EA},,,,,104,0,0
Rock Creek,Rock Creek,2.05105178,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_113,{532517DC-A7E4-4C2D-A2DF-B7E88A839219},,,,,105,0,0
Rock Creek,Rock Creek,3.30096205,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_30,{CD01A2BF-3B4B-4FBA-94B3-EC91CF321CBE},,,,,106,0,0
Anacostia River,Watts Branch - Lower,410.63431076,TMDL Subsheds,Anacostia River - Upper,MS4,temp_170,{0C783F6B-DDBA-4F9E-8504-6124BC6CA1F1},,,,,107,0,0
Anacostia River,Kingman Lake,690.75943648,TMDL Subsheds,Anacostia River - Upper,MS4,temp_158,{049F493C-925C-4EE2-813C-5ADD61DC895D},,,,,108,0,0
Rock Creek,Rock Creek,0.96682114,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_114,{32AFB599-9B68-4C53-8B86-BDFAAE08CDFA},,,,,109,0,0
Potomac River,Potomac River,1579.09405808,Direct Drain - Overland,Potomac River - Middle,MS4,temp_174,{5C3BF819-E24B-4F58-A947-1366E9B21F9E},,,,,110,0,0
Potomac River,Potomac River,4.877892,Direct Drain - Sewersheds,Potomac River - Middle,MS4,temp_1,{79E73FA2-AB7B-4E05-960D-8CA1188B5B53},,,,,111,0,0
Rock Creek,Rock Creek,2.02554398,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_2,{24DEDCF8-D502-43D5-9911-835ED5BBC6B8},,,,,112,0,0
Anacostia River,Watts Branch - Upper,848.33010949,TMDL Subsheds,Anacostia River - Upper,MS4,temp_145,{AB733670-8604-404A-8E25-B5D8B313755B},,,,,113,0,0
Rock Creek,Rock Creek,2.02230754,Direct Drain - Sewersheds,Rock Creek - Lower,MS4,temp_4,{8E64E7FF-3B15-45A3-993F-533159EBF8F7},,,,,114,0,0
