WATERSHED,SUBSHED,ACRES,TYPE,WATERSHED_SEGMENTS,SEWER_SYSTEM,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
Anacostia River,Anacostia River / Northwest Anacostia,28.63583272,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_46,{C266AC3A-D5ED-4C2A-B582-1270B74932A5},,,,,148,0,0
Potomac River,Potomac River,2.14674756,Direct Drain - Sewersheds,Potomac River - Middle,MS4,temp_21,{CAE8EE96-0BEE-4F68-B6B6-FD014B564FE0},,,,,149,0,0
Anacostia River,Anacostia River / Northwest Anacostia,6.86600253,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_87,{B3BC0DEB-B372-4DE9-BC35-E06F579932D5},,,,,150,0,0
Anacostia River,Anacostia River,10.745038,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_40,{8D9CB868-B720-4117-A871-B229F7861CBE},,,,,151,0,0
Anacostia River,Fort Davis Tributary,234.09856393,TMDL Subsheds,Anacostia River - Upper,MS4,temp_140,{16DDFA79-EEA4-40E5-B1BA-7A35F33C81F9},,,,,152,0,0
Anacostia River,Texas Avenue Tributary,249.29976875,TMDL Subsheds,Anacostia River - Upper,MS4,temp_157,{EA5C6D3B-E2B6-4DF4-8D40-3476571F5292},,,,,153,0,0
Anacostia River,Anacostia River,26.06174674,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_50,{D2D0BC13-C0E2-470C-9652-4FAED0A9F8B2},,,,,154,0,0
Anacostia River,Anacostia River / Naylor,2.4500745,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_88,{EEF7CEAD-6861-41AD-A7C2-6BCF9321EFEC},,,,,155,0,0
Anacostia River,Anacostia River / Northwest Anacostia,20.26481609,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_45,{5C1F51CE-6E84-4BF7-BD06-EB5EDD2A2E43},,,,,156,0,0
Anacostia River,Anacostia River / Naylor,128.49843209,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_28,{92D4B9FB-DB34-4400-A6DC-2534EF8890A8},,,,,157,0,0
Potomac River,Oxon Run,2171.02625591,TMDL Subsheds,Potomac River - Lower,MS4,temp_146,{FC6064E6-4965-4B25-A015-BB611E1FE301},,,,,158,0,0
Anacostia River,Fort Stanton Tributary,276.86086926,TMDL Subsheds,Anacostia River - Lower,MS4,temp_141,{4A920FE3-2489-4C0F-9B60-27E8F1823E6C},,,,,159,0,0
Anacostia River,Anacostia River / Northwest Anacostia,52.20306951,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_44,{49C7C64A-4B40-4860-8820-03937E10AF65},,,,,160,0,0
Anacostia River,Anacostia River,12.99233126,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_29,{E5ABB390-B343-4F81-82E1-E5DEA7A2B92D},,,,,161,0,0
Anacostia River,Anacostia River,16.5147816,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_108,{05BBFA3C-1C3D-4911-A721-DA958CDD5B39},,,,,162,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,9.06320044,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_43,{EC4E4A22-1D6B-4843-AA3D-44A7DD4BA75B},,,,,163,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,37.72002394,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_78,{2EEF54A6-C651-4C8E-ABEA-8EC0291E244F},,,,,164,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,621.7967051,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_115,{475F00A3-57CA-4370-9514-017793378098},,,,,165,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,27.29492649,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_79,{99C6FEAC-3F39-4753-8F0D-E36D141FBE34},,,,,166,0,0
Anacostia River,Anacostia River / Northwest Anacostia,3.20086834,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_80,{773C6F12-3139-4CAB-80B0-B4D10EB8EECA},,,,,167,0,0
Anacostia River,Anacostia River / Northwest Anacostia,0.63388937,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_81,{DA0DCFF5-AF25-4DE2-8327-5315BA8B5737},,,,,168,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,304.34209113,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_77,{BB96C591-83CA-438C-9C52-369CF1AE2E59},,,,,169,0,0
Anacostia River,Anacostia River / Northwest Anacostia,2.18374596,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_82,{CC78CC62-3ED4-4B8E-B636-28C8402A2D35},,,,,170,0,0
Potomac River,Potomac River,3137.24614761,Direct Drain - Overland,Potomac River - Lower,MS4,temp_173,{0E78633A-5F4B-43F4-95F3-A7CC2A03F22F},,,,,171,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,40.38646647,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_42,{519CC3B6-BE27-45A1-8BC8-B15B1158ECB3},,,,,172,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,1.25120028,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_51,{612C7783-3CB3-48B0-9DD1-8F383F60C725},,,,,173,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,5.49749018,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_41,{F6FE36E1-0F28-487F-9B4A-74CC0D471798},,,,,174,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,2.51371789,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_86,{D04F7B9A-F2E9-469D-A7AF-852DE0EF330C},,,,,175,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,2.19989856,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_85,{A6341C64-26CC-4027-B819-35A00B5DA140},,,,,176,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,16.79704238,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_84,{AF959874-FCBA-4D72-ACB9-097BCF5FD88A},,,,,177,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,6.51741897,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_39,{2F31A263-3C25-4E52-B7C9-8A37488F5719},,,,,178,0,0
Anacostia River,Anacostia River / Suitland-Stickfoot,1.76557005,Direct Drain - Sewersheds,Anacostia River - Lower,MS4,temp_94,{4F3AFF78-73CC-46E0-A912-7263033886E1},,,,,179,0,0
Potomac River,Potomac River,321.88722964,Direct Drain - Sewersheds,Potomac River - Lower,MS4,temp_76,{B5462248-3AE8-4353-9ED1-CA021A8774C5},,,,,180,0,0
Potomac River,Potomac River,102.82329802,Direct Drain - Sewersheds,Potomac River - Lower,MS4,temp_75,{E4BFBCC4-ECFF-4099-9CD2-41348168F331},,,,,181,0,0
Potomac River,Potomac River,3.9679869,Direct Drain - Sewersheds,Potomac River - Lower,MS4,temp_74,{822DC314-5491-4BCF-8EF1-83957A0782C9},,,,,182,0,0
Potomac River,Potomac River,6.50243073,Direct Drain - Sewersheds,Potomac River - Lower,MS4,temp_71,{80480E0A-3EFB-4264-8901-A958DEF3E104},,,,,183,0,0
Potomac River,Potomac River,23.60000112,Direct Drain - Sewersheds,Potomac River - Lower,MS4,temp_104,{8B5AE872-CEFC-4E0D-9659-BED2386FD426},,,,,184,0,0
Potomac River,Potomac River,15.76495213,Direct Drain - Sewersheds,Potomac River - Lower,MS4,temp_72,{F85ACE81-04A3-4EBC-98A0-02B746CFD5AD},,,,,185,0,0
Potomac River,Potomac River / Oxon Cove,60.60863206,Direct Drain - Sewersheds,Potomac River - Lower,MS4,temp_73,{FCCBE679-DC26-4793-BAF3-CC1DC8169EE9},,,,,186,0,0
Potomac River,Potomac River,11.91276457,Direct Drain - Sewersheds,Potomac River - Lower,MS4,temp_90,{7603A886-F08F-4993-829D-5E734B6BF3E1},,,,,187,0,0
Potomac River,Potomac River,2.89089864,Direct Drain - Sewersheds,Potomac River - Lower,MS4,temp_70,{22BDCA18-8505-4018-A78D-63FAC9B3E5B8},,,,,188,0,0
